date,close
2016-06-15,10.44
2016-07-27,9.01
2016-09-07,9.4
2016-10-28,9.17
2016-12-09,9.65
2017-01-23,9.22
2017-03-13,9.44
2017-04-26,8.99
2017-06-12,9.11
2017-07-24,10.95
2017-09-04,11.72
2017-10-23,11.19
2017-12-04,13.3
2018-01-16,14.2
2018-03-06,12.1
2018-04-19,11.47
2018-06-04,10.27
2018-07-17,8.72
2018-08-28,10.29
2018-10-17,10.33
2018-11-28,10.28
2019-01-11,10.2
2019-03-01,12.76
2019-04-15,13.69
2019-05-30,12.22
2019-07-12,14.12
2019-08-23,14.65
2019-10-14,17.22
2019-11-25,15.8
2020-01-07,17.15
2020-02-26,14.99
2020-04-09,12.74
2020-05-26,13.04
2020-07-09,15.53
2020-08-20,14.59
2020-10-09,15.18
2020-11-20,18.86
2021-01-04,18.6
2021-02-22,22.38
2021-04-06,21.68
2021-05-21,23.49
2021-07-05,22.06
2021-08-16,19.95
2021-09-29,18.15
2021-11-17,18.11
2021-12-29,16.75
2022-02-17,16.42
2022-03-31,15.38
2022-05-19,14.62
2022-07-01,14.92
2022-08-12,12.38
2022-09-26,12.0
2022-11-14,11.95
2022-12-26,12.77
2023-02-14,13.96
2023-03-28,12.64
2023-05-15,12.83
2023-06-28,11.3
2023-08-09,12.17
2023-09-20,11.15
2023-11-09,10.49
