date,close
2016-06-15,8.6
2016-07-27,9.5
2016-09-07,9.59
2016-10-28,9.2
2016-12-09,9.58
2017-01-23,9.57
2017-03-13,9.59
2017-04-26,9.41
2017-06-12,9.26
2017-07-24,10.24
2017-09-04,11.36
2017-10-23,10.38
2017-12-04,11.42
2018-01-16,12.54
2018-03-06,12.92
2018-04-19,10.93
2018-06-04,12.78
2018-07-17,12.2
2018-08-28,10.81
2018-10-17,8.32
2018-11-28,8.74
2019-01-11,9.23
2019-03-01,11.02
2019-04-15,21.14
2019-05-30,17.57
2019-07-12,15.33
2019-08-23,14.0
2019-10-14,14.54
2019-11-25,13.56
2020-01-07,14.64
2020-02-26,13.52
2020-04-09,12.19
2020-05-26,12.05
2020-07-09,14.52
2020-08-20,14.66
2020-10-09,13.84
2020-11-20,14.76
2021-01-04,13.61
2021-02-22,18.57
2021-04-06,14.62
2021-05-21,13.93
2021-07-05,13.42
2021-08-16,13.51
2021-09-29,13.39
2021-11-17,12.99
2021-12-29,12.68
2022-02-17,12.69
2022-03-31,10.9
2022-05-19,10.43
2022-07-01,10.25
2022-08-12,9.91
2022-09-26,9.13
2022-11-14,9.26
2022-12-26,9.85
2023-02-14,10.26
2023-03-28,10.32
2023-05-15,9.48
2023-06-28,9.27
2023-08-09,9.81
2023-09-20,9.38
2023-11-09,8.95
