date,close
2016-06-15,17.74
2016-07-27,15.87
2016-09-07,16.48
2016-10-28,16.29
2016-12-09,17.34
2017-01-23,16.57
2017-03-13,16.34
2017-04-26,15.05
2017-06-12,12.78
2017-07-24,13.67
2017-09-04,12.78
2017-10-23,12.84
2017-12-04,12.92
2018-01-16,12.9
2018-03-06,12.49
2018-04-19,11.8
2018-06-04,10.75
2018-07-17,9.44
2018-08-28,10.3
2018-10-17,10.29
2018-11-28,10.58
2019-01-11,10.05
2019-03-01,12.02
2019-04-15,11.47
2019-05-30,11.11
2019-07-12,11.52
2019-08-23,11.59
2019-10-14,12.94
2019-11-25,12.07
2020-01-07,12.5
2020-02-26,11.2
2020-04-09,10.2
2020-05-26,10.27
2020-07-09,11.99
2020-08-20,10.47
2020-10-09,9.42
2020-11-20,9.67
2021-01-04,9.69
2021-02-22,10.71
2021-04-06,10.7
2021-05-21,10.09
2021-07-05,9.92
2021-08-16,9.22
2021-09-29,9.02
2021-11-17,8.65
2021-12-29,8.54
2022-02-17,8.56
2022-03-31,8.0
2022-05-19,7.91
2022-07-01,7.99
2022-08-12,7.24
2022-09-26,7.06
2022-11-14,7.03
2022-12-26,7.1
2023-02-14,7.24
2023-03-28,7.18
2023-05-15,7.69
2023-06-28,7.21
2023-08-09,7.55
2023-09-20,7.13
2023-11-09,6.93
